Q13.3.a,p,vsa
Q13.4.a,n,vsa
Q13.6.a,p,vsa
Q13.7.a,p,vsa
Q14.2.a,p,vsa
Q14.3.a,p,vsa
Q15.1.a,p,ei
Q15.3.a,p,ei
Q15.4.a,p,ei
Q16.1.a,p,es
Q16.2.a,p,es
Q16.3.a,p,es
Q16.4.a,p,es
Q17.1.a,p,es
Q17.2.a,p,es
Q17.3.a,p,es
Q17.4.a,p,es
Q18.1.a,p,vsa
Q18.4.a,p,vsa
Q18.5.a,n,vsa
Q18.8.a,p,vsa
Q18.10.a,p,vsa
Q18.11.a,p,vsa
Q18.12.a,n,vsa
Q18.12.a.a,p,vsa
Q18.13.a,p,vsa
Q20.1.a,p,vsa
Q20.2.a,p,vsa
Q20.4.a,p,vsa
Q20.7.a,n,vsa
Q21.3.a,p,vsa
Q21.4.a,p,vsa
Q21.5.a,p,vsa
Q21.6.a,p,vsa
Q21.7.a,p,vsa
Q21.8.a,p,vsa
Q21.10.a,p,vsa
Q22,p,esat
Q25.1.a,p,vsa
Q25.2.a,p,vsa
Q25.3.a,p,vsa
Q25.4.a,p,vsa
Q25.5.a,p,vsa
Q27.1.a,p,vsa
Q27.2.a,n,vsa
Q27.3.a,p,vsa
Q27.6.a,p,vsa
Q27.7.a,p,vsa
Q27.8.a,n,vsa
Q27.10.a,p,vsa
Q27.11.a,p,vsa
Q28,p,pmb
Q29be,n,ynp
Q29bw,n,ynp
Q29he,n,ynp
Q29hw,n,ynp
Q29,n,yn
Q30,n,yn
Q31,n,ynp
Q32,n,ynp
Q33,p,ynu
Q34,p,ynu
Q35,p,ynu
Q37.1.a,p,vsa
Q37.2.a,p,vsa
Q37.3.a,p,vsa
Q37.4.a,p,vsa
Q37.6.a,n,vsa
Q37.7.a,n,vsa
Q37.8.a,p,vsa
Q37.10.a,p,vsa
Q37.12.a,p,vsa
Q37.13.a,p,vsa
Q37.14.a,p,vsa
Q38.1,p,1_7
Q40.3.a,p,vsa
Q40.5.a,p,vsa
Q41.1.a,p,vsa
Q41.2.a,p,vsa
Q41.3.a,p,vsa
Q41.4.a,n,vsa
Q41.7.a,p,vsa
Q41.9.a,p,vsa
Q41.10.a,p,vsa
Q41a,p,new 4
Q42.1.a,p,hplp
Q42.2.a,p,hplp
Q42.3.a,p,hplp
Q43.1.a,p,vhpi
Q43.2.a,p,vhpi
Q43.3.a,p,vhpi
Q43.4.a,p,vhpi
Q43.5.a,p,vhpi
Q43.6.a,p,vhpi
